1 2.66609994088973e-06
2 4.03781127663005e-06
3 4.32171995696372e-06
4 4.35935078508103e-06
5 4.36498752317458e-06
6 4.36598241040568e-06
7 4.36622785895803e-06
8 4.36631658641393e-06
9 4.36635895133069e-06
10 4.36638227218898e-06
11 4.36639607142803e-06
12 4.36640451336014e-06
13 4.36640968762866e-06
14 4.36641295357835e-06
15 4.36641206989456e-06
16 4.36641206989562e-06
17 4.36641295357414e-06
18 4.36640968763388e-06
19 4.36640451336609e-06
20 4.36639607142154e-06
21 4.36638227217253e-06
22 4.36635895134265e-06
23 4.3663165863957e-06
24 4.36622785895223e-06
25 4.3659824104002e-06
26 4.36498752315886e-06
27 4.35935078507947e-06
28 4.32171995696863e-06
29 4.03781127663191e-06
30 2.66609994090299e-06
