1 0.002
2 1.64848580129329e-05
3 4.8679258993878e-06
4 4.57761610753974e-06
5 4.540515852542e-06
6 4.53826019450951e-06
7 4.53807872325781e-06
8 4.5381173480749e-06
9 4.53814399945427e-06
10 4.53814942103597e-06
11 4.53812877910257e-06
12 4.53806543697155e-06
13 4.53788376288343e-06
14 4.53760306724097e-06
15 4.53994180498534e-06
16 4.53994179999549e-06
17 4.53760306277278e-06
18 4.53788376135181e-06
19 4.53806543237991e-06
20 4.53812874528326e-06
21 4.53814915366165e-06
22 4.53814193372653e-06
23 4.53810020563451e-06
24 4.53794373011852e-06
25 4.53703636918072e-06
26 4.53062484945205e-06
27 4.46556355685537e-06
28 3.90183752298641e-06
29 1.09051222285315e-05
30 0.002
