1 0.002
2 1.6494197782629e-05
3 4.51403461985851e-06
4 4.2254365496352e-06
5 4.18786708829814e-06
6 4.18559644034453e-06
7 4.18542240565366e-06
8 4.18552827362094e-06
9 4.18523423824124e-06
10 4.18365136231714e-06
11 4.17090027336576e-06
12 4.01731246446172e-06
13 2.97519530896937e-06
14 5.82752752004536e-07
15 2.21646348798791e-08
16 5.96432691181942e-09
17 2.21646348981548e-08
18 5.82752751839234e-07
19 2.97519530845195e-06
20 4.01731245985942e-06
21 4.17090023942792e-06
22 4.18365109436509e-06
23 4.18523216976171e-06
24 4.18551109245138e-06
25 4.18528724650417e-06
26 4.18436933186668e-06
27 4.17796329236786e-06
28 4.11286999833886e-06
29 3.54891667393916e-06
30 1.14331397134454e-05
31 0.002
